,Hour,Weekday,Is Working Day,Previous Hour price,SDSH DAP,SDSH load,load-1,load-2,load-3,load-4,load-5,price-1,price-2,price-3,price-4,price-5,target,Forward Curve
2021-02-28 09:00:00,10.0,1.0,0.0,2045.87,2045.5279999999998,8030.8,7492.4,7079.8,6872.9,7105.7,7131.1,2045.87,1889.5433333333333,1798.78,2051.193333333333,2144.6566666666668,2041.9033333333334,
2021-02-28 10:00:00,11.0,1.0,0.0,2041.9033333333334,2441.152,8097.4,8030.8,7492.4,7079.8,6872.9,7105.7,2041.9033333333334,2045.87,1889.5433333333333,1798.78,2051.193333333333,2403.54,
2021-02-28 11:00:00,12.0,1.0,0.0,2403.54,2078.034,8010.1,8097.4,8030.8,7492.4,7079.8,6872.9,2403.54,2041.9033333333334,2045.87,1889.5433333333333,1798.78,2236.19,
2021-02-28 12:00:00,13.0,1.0,0.0,2236.19,2180.544,8058.5,8010.1,8097.4,8030.8,7492.4,7079.8,2236.19,2403.54,2041.9033333333334,2045.87,1889.5433333333333,2239.2933333333335,
2021-02-28 13:00:00,14.0,1.0,0.0,2239.2933333333335,2037.7359999999996,8124.0,8058.5,8010.1,8097.4,8030.8,7492.4,2239.2933333333335,2236.19,2403.54,2041.9033333333334,2045.87,2170.0833333333335,
2021-02-28 14:00:00,15.0,1.0,0.0,2170.0833333333335,2104.498,8109.7,8124.0,8058.5,8010.1,8097.4,8030.8,2170.0833333333335,2239.2933333333335,2236.19,2403.54,2041.9033333333334,2036.5633333333333,
2021-02-28 15:00:00,16.0,1.0,0.0,2036.5633333333333,2264.768,8044.3,8109.7,8124.0,8058.5,8010.1,8097.4,2036.5633333333333,2170.0833333333335,2239.2933333333335,2236.19,2403.54,2416.1,
2021-02-28 16:00:00,17.0,1.0,0.0,2416.1,2352.736,7912.4,8044.3,8109.7,8124.0,8058.5,8010.1,2416.1,2036.5633333333333,2170.0833333333335,2239.2933333333335,2236.19,2445.92,
2021-02-28 17:00:00,18.0,1.0,0.0,2445.92,2510.6,8242.7,7912.4,8044.3,8109.7,8124.0,8058.5,2445.92,2416.1,2036.5633333333333,2170.0833333333335,2239.2933333333335,2588.39,
2021-02-28 18:00:00,19.0,1.0,0.0,2588.39,2676.308,8696.4,8242.7,7912.4,8044.3,8109.7,8124.0,2588.39,2445.92,2416.1,2036.5633333333333,2170.0833333333335,2635.1433333333334,
2021-02-28 19:00:00,20.0,1.0,0.0,2635.1433333333334,2639.332,8523.5,8696.4,8242.7,7912.4,8044.3,8109.7,2635.1433333333334,2588.39,2445.92,2416.1,2036.5633333333333,2602.12,
2021-02-28 20:00:00,21.0,1.0,0.0,2602.12,2589.2200000000003,8406.3,8523.5,8696.4,8242.7,7912.4,8044.3,2602.12,2635.1433333333334,2588.39,2445.92,2416.1,2611.02,
2021-02-28 21:00:00,22.0,1.0,0.0,2611.02,2435.1059999999998,8133.7,8406.3,8523.5,8696.4,8242.7,7912.4,2611.02,2602.12,2635.1433333333334,2588.39,2445.92,2529.37,
2021-02-28 22:00:00,23.0,1.0,0.0,2529.37,2080.484,7822.9,8133.7,8406.3,8523.5,8696.4,8242.7,2529.37,2611.02,2602.12,2635.1433333333334,2588.39,4517.336666666667,
2021-02-28 23:00:00,24.0,1.0,0.0,4517.336666666667,2254.098,7500.4,7822.9,8133.7,8406.3,8523.5,8696.4,4517.336666666667,2529.37,2611.02,2602.12,2635.1433333333334,2745.14,
2021-03-01 00:00:00,1.0,2.0,1.0,2745.14,2170.5299999999997,7263.1,7500.4,7822.9,8133.7,8406.3,8523.5,2745.14,4517.336666666667,2529.37,2611.02,2602.12,2233.89,
2021-03-01 01:00:00,2.0,2.0,1.0,2233.89,2055.924,7021.1,7263.1,7500.4,7822.9,8133.7,8406.3,2233.89,2745.14,4517.336666666667,2529.37,2611.02,2233.1033333333335,
2021-03-01 02:00:00,3.0,2.0,1.0,2233.1033333333335,2413.078,7058.9,7021.1,7263.1,7500.4,7822.9,8133.7,2233.1033333333335,2233.89,2745.14,4517.336666666667,2529.37,2244.1033333333335,
2021-03-01 03:00:00,4.0,2.0,1.0,2244.1033333333335,2419.532,6933.9,7058.9,7021.1,7263.1,7500.4,7822.9,2244.1033333333335,2233.1033333333335,2233.89,2745.14,4517.336666666667,2385.6133333333332,
2021-03-01 04:00:00,5.0,2.0,1.0,2385.6133333333332,2390.8300000000004,6735.6,6933.9,7058.9,7021.1,7263.1,7500.4,2385.6133333333332,2244.1033333333335,2233.1033333333335,2233.89,2745.14,2398.7533333333336,
2021-03-01 05:00:00,6.0,2.0,1.0,2398.7533333333336,2526.8480000000004,7014.1,6735.6,6933.9,7058.9,7021.1,7263.1,2398.7533333333336,2385.6133333333332,2244.1033333333335,2233.1033333333335,2233.89,2501.3933333333334,
2021-03-01 06:00:00,7.0,2.0,1.0,2501.3933333333334,2528.5179999999996,7386.7,7014.1,6735.6,6933.9,7058.9,7021.1,2501.3933333333334,2398.7533333333336,2385.6133333333332,2244.1033333333335,2233.1033333333335,2502.56,
2021-03-01 07:00:00,8.0,2.0,1.0,2502.56,2642.7439999999997,7921.7,7386.7,7014.1,6735.6,6933.9,7058.9,2502.56,2501.3933333333334,2398.7533333333336,2385.6133333333332,2244.1033333333335,2597.096666666667,
2021-03-01 08:00:00,9.0,2.0,1.0,2597.096666666667,11717.004,8699.0,7921.7,7386.7,7014.1,6735.6,6933.9,2597.096666666667,2502.56,2501.3933333333334,2398.7533333333336,2385.6133333333332,11586.206666666665,
2021-03-01 09:00:00,10.0,2.0,1.0,11586.206666666665,6975.214,9283.4,8699.0,7921.7,7386.7,7014.1,6735.6,11586.206666666665,2597.096666666667,2502.56,2501.3933333333334,2398.7533333333336,4044.6633333333334,
2021-03-01 10:00:00,11.0,2.0,1.0,4044.6633333333334,4138.974,9273.7,9283.4,8699.0,7921.7,7386.7,7014.1,4044.6633333333334,11586.206666666665,2597.096666666667,2502.56,2501.3933333333334,11603.75,
2021-03-01 11:00:00,12.0,2.0,1.0,11603.75,2672.796,9052.1,9273.7,9283.4,8699.0,7921.7,7386.7,11603.75,4044.6633333333334,11586.206666666665,2597.096666666667,2502.56,11465.38,
2021-03-01 12:00:00,13.0,2.0,1.0,11465.38,2577.626,8947.5,9052.1,9273.7,9283.4,8699.0,7921.7,11465.38,11603.75,4044.6633333333334,11586.206666666665,2597.096666666667,6804.646666666667,
2021-03-01 13:00:00,14.0,2.0,1.0,6804.646666666667,4168.814,9209.3,8947.5,9052.1,9273.7,9283.4,8699.0,6804.646666666667,11465.38,11603.75,4044.6633333333334,11586.206666666665,19054.076666666664,
2021-03-01 14:00:00,15.0,2.0,1.0,19054.076666666664,4168.854000000001,9161.2,9209.3,8947.5,9052.1,9273.7,9283.4,19054.076666666664,6804.646666666667,11465.38,11603.75,4044.6633333333334,21687.113333333335,
2021-03-01 15:00:00,16.0,2.0,1.0,21687.113333333335,13593.212,9454.5,9161.2,9209.3,8947.5,9052.1,9273.7,21687.113333333335,19054.076666666664,6804.646666666667,11465.38,11603.75,21128.25,
2021-03-01 16:00:00,17.0,2.0,1.0,21128.25,6854.706,8986.4,9454.5,9161.2,9209.3,8947.5,9052.1,21128.25,21687.113333333335,19054.076666666664,6804.646666666667,11465.38,11514.513333333334,
2021-03-01 17:00:00,18.0,2.0,1.0,11514.513333333334,4208.4,8861.1,8986.4,9454.5,9161.2,9209.3,8947.5,11514.513333333334,21128.25,21687.113333333335,19054.076666666664,6804.646666666667,11514.57,
2021-03-01 18:00:00,19.0,2.0,1.0,11514.57,21597.946000000004,9111.9,8861.1,8986.4,9454.5,9161.2,9209.3,11514.57,11514.513333333334,21128.25,21687.113333333335,19054.076666666664,15398.573333333334,
2021-03-01 19:00:00,20.0,2.0,1.0,15398.573333333334,7709.772,8822.7,9111.9,8861.1,8986.4,9454.5,9161.2,15398.573333333334,11514.57,11514.513333333334,21128.25,21687.113333333335,6186.389999999999,
2021-03-01 20:00:00,21.0,2.0,1.0,6186.389999999999,11644.498,8789.4,8822.7,9111.9,8861.1,8986.4,9454.5,6186.389999999999,15398.573333333334,11514.57,11514.513333333334,21128.25,7275.846666666667,
2021-03-01 21:00:00,22.0,2.0,1.0,7275.846666666667,13464.880000000001,8586.4,8789.4,8822.7,9111.9,8861.1,8986.4,7275.846666666667,6186.389999999999,15398.573333333334,11514.57,11514.513333333334,7515.383333333334,
2021-03-01 22:00:00,23.0,2.0,1.0,7515.383333333334,2496.368,8186.1,8586.4,8789.4,8822.7,9111.9,8861.1,7515.383333333334,7275.846666666667,6186.389999999999,15398.573333333334,11514.57,10685.713333333333,
2021-03-01 23:00:00,24.0,2.0,1.0,10685.713333333333,2570.882,8036.2,8186.1,8586.4,8789.4,8822.7,9111.9,10685.713333333333,7515.383333333334,7275.846666666667,6186.389999999999,15398.573333333334,10695.730000000001,
2021-03-02 00:00:00,1.0,3.0,1.0,10695.730000000001,2420.382,7697.4,8036.2,8186.1,8586.4,8789.4,8822.7,10695.730000000001,10685.713333333333,7515.383333333334,7275.846666666667,6186.389999999999,3500.513333333334,
2021-03-02 01:00:00,2.0,3.0,1.0,3500.513333333334,2403.5919999999996,7514.2,7697.4,8036.2,8186.1,8586.4,8789.4,3500.513333333334,10695.730000000001,10685.713333333333,7515.383333333334,7275.846666666667,2458.3633333333332,
2021-03-02 02:00:00,3.0,3.0,1.0,2458.3633333333332,2627.968,7575.4,7514.2,7697.4,8036.2,8186.1,8586.4,2458.3633333333332,3500.513333333334,10695.730000000001,10685.713333333333,7515.383333333334,2611.34,
2021-03-02 03:00:00,4.0,3.0,1.0,2611.34,2657.148,7463.9,7575.4,7514.2,7697.4,8036.2,8186.1,2611.34,2458.3633333333332,3500.513333333334,10695.730000000001,10685.713333333333,2625.853333333333,
2021-03-02 04:00:00,5.0,3.0,1.0,2625.853333333333,3582.308,7528.1,7463.9,7575.4,7514.2,7697.4,8036.2,2625.853333333333,2611.34,2458.3633333333332,3500.513333333334,10695.730000000001,2615.71,
2021-03-02 05:00:00,6.0,3.0,1.0,2615.71,8763.658,7752.2,7528.1,7463.9,7575.4,7514.2,7697.4,2615.71,2625.853333333333,2611.34,2458.3633333333332,3500.513333333334,2614.7599999999998,
2021-03-02 06:00:00,7.0,3.0,1.0,2614.7599999999998,2640.778,7578.4,7752.2,7528.1,7463.9,7575.4,7514.2,2614.7599999999998,2615.71,2625.853333333333,2611.34,2458.3633333333332,2601.15,
2021-03-02 07:00:00,8.0,3.0,1.0,2601.15,9409.279999999999,8126.7,7578.4,7752.2,7528.1,7463.9,7575.4,2601.15,2614.7599999999998,2615.71,2625.853333333333,2611.34,2606.266666666667,
2021-03-02 08:00:00,9.0,3.0,1.0,2606.266666666667,7157.005999999999,8769.9,8126.7,7578.4,7752.2,7528.1,7463.9,2606.266666666667,2601.15,2614.7599999999998,2615.71,2625.853333333333,5690.81,
2021-03-02 09:00:00,10.0,3.0,1.0,5690.81,11759.514,9281.0,8769.9,8126.7,7578.4,7752.2,7528.1,5690.81,2606.266666666667,2601.15,2614.7599999999998,2615.71,14803.773333333333,
2021-03-02 10:00:00,11.0,3.0,1.0,14803.773333333333,18878.804,9702.4,9281.0,8769.9,8126.7,7578.4,7752.2,14803.773333333333,5690.81,2606.266666666667,2601.15,2614.7599999999998,19045.226666666666,
2021-03-02 11:00:00,12.0,3.0,1.0,19045.226666666666,15686.531999999997,9523.0,9702.4,9281.0,8769.9,8126.7,7578.4,19045.226666666666,14803.773333333333,5690.81,2606.266666666667,2601.15,14816.876666666665,
2021-03-02 12:00:00,13.0,3.0,1.0,14816.876666666665,15705.898000000001,9545.3,9523.0,9702.4,9281.0,8769.9,8126.7,14816.876666666665,19045.226666666666,14803.773333333333,5690.81,2606.266666666667,8059.186666666666,
2021-03-02 13:00:00,14.0,3.0,1.0,8059.186666666666,31255.187500000004,9948.0,9545.3,9523.0,9702.4,9281.0,8769.9,8059.186666666666,14816.876666666665,19045.226666666666,14803.773333333333,5690.81,21410.043333333335,
2021-03-02 14:00:00,15.0,3.0,1.0,21410.043333333335,19198.33,9909.6,9948.0,9545.3,9523.0,9702.4,9281.0,21410.043333333335,8059.186666666666,14816.876666666665,19045.226666666666,14803.773333333333,21113.49,
2021-03-02 15:00:00,16.0,3.0,1.0,21113.49,13688.704000000002,9691.3,9909.6,9948.0,9545.3,9523.0,9702.4,21113.49,21410.043333333335,8059.186666666666,14816.876666666665,19045.226666666666,15638.656666666668,
2021-03-02 16:00:00,17.0,3.0,1.0,15638.656666666668,4130.536,9127.0,9691.3,9909.6,9948.0,9545.3,9523.0,15638.656666666668,21113.49,21410.043333333335,8059.186666666666,14816.876666666665,7268.133333333334,
2021-03-02 17:00:00,18.0,3.0,1.0,7268.133333333334,2645.812,8805.1,9127.0,9691.3,9909.6,9948.0,9545.3,7268.133333333334,15638.656666666668,21113.49,21410.043333333335,8059.186666666666,3963.03,
2021-03-02 18:00:00,19.0,3.0,1.0,3963.03,11909.449999999999,9294.0,8805.1,9127.0,9691.3,9909.6,9948.0,3963.03,7268.133333333334,15638.656666666668,21113.49,21410.043333333335,6461.206666666666,
2021-03-02 19:00:00,20.0,3.0,1.0,6461.206666666666,7262.508,9105.0,9294.0,8805.1,9127.0,9691.3,9909.6,6461.206666666666,3963.03,7268.133333333334,15638.656666666668,21113.49,4051.306666666667,
2021-03-02 20:00:00,21.0,3.0,1.0,4051.306666666667,7126.532000000001,9066.8,9105.0,9294.0,8805.1,9127.0,9691.3,4051.306666666667,6461.206666666666,3963.03,7268.133333333334,15638.656666666668,4119.256666666666,
2021-03-02 21:00:00,22.0,3.0,1.0,4119.256666666666,10283.242,8842.9,9066.8,9105.0,9294.0,8805.1,9127.0,4119.256666666666,4051.306666666667,6461.206666666666,3963.03,7268.133333333334,13464.513333333334,
2021-03-02 22:00:00,23.0,3.0,1.0,13464.513333333334,13622.254,8519.0,8842.9,9066.8,9105.0,9294.0,8805.1,13464.513333333334,4119.256666666666,4051.306666666667,6461.206666666666,3963.03,14931.840000000002,
