"Date","Value","Publish Date"
"2021-05-04 16:20:00","15223.2","2021-05-04 16:30:05"
"2021-05-04 16:25:00","15226.9","2021-05-04 16:35:02"
"2021-05-04 16:30:00","15266.7","2021-05-04 16:40:06"
"2021-05-04 16:35:00","15249.2","2021-05-04 16:45:02"
"2021-05-04 16:40:00","15080.3","2021-05-04 16:50:07"
"2021-05-04 16:45:00","15163","2021-05-04 16:55:02"
"2021-05-04 16:50:00","15093.6","2021-05-04 17:00:03"
"2021-05-04 16:55:00","15042.9","2021-05-04 17:05:03"
"2021-05-04 17:00:00","15025.2","2021-05-04 17:10:02"
"2021-05-04 17:05:00","14981.2","2021-05-04 17:15:04"
"2021-05-04 17:10:00","14953.8","2021-05-04 17:20:04"
"2021-05-04 17:15:00","14842.8","2021-05-04 17:25:02"
"2021-05-04 17:20:00","14911.3","2021-05-04 17:30:05"
"2021-05-04 17:25:00","14938.1","2021-05-04 17:35:05"
"2021-05-04 17:30:00","14938.1","2021-05-04 17:40:04"
"2021-05-04 17:35:00","14900.3","2021-05-04 17:45:03"
"2021-05-04 17:40:00","14885.4","2021-05-04 17:50:04"
"2021-05-04 17:45:00","14807.2","2021-05-04 17:55:04"
"2021-05-04 17:50:00","14677.4","2021-05-04 18:00:07"
"2021-05-04 17:55:00","14774.1","2021-05-04 18:05:04"
"2021-05-04 18:00:00","14757.3","2021-05-04 18:10:04"
"2021-05-04 18:05:00","14671.7","2021-05-04 18:15:07"
"2021-05-04 18:10:00","14640.4","2021-05-04 18:20:04"
"2021-05-04 18:15:00","14558.1","2021-05-04 18:25:02"
"2021-05-04 18:20:00","14505.6","2021-05-04 18:30:01"
"2021-05-04 18:25:00","14392.4","2021-05-04 18:35:04"
"2021-05-04 18:30:00","14371","2021-05-04 18:40:05"
"2021-05-04 18:35:00","14317","2021-05-04 18:40:05"
"2021-05-04 18:40:00","14259.5","2021-05-04 18:50:05"
"2021-05-04 18:45:00","14221.8","2021-05-04 18:55:04"
"2021-05-04 18:50:00","14122.6","2021-05-04 19:00:05"
"2021-05-04 18:55:00","14084.3","2021-05-04 19:00:05"
"2021-05-04 19:00:00","14018.7","2021-05-04 19:10:02"
"2021-05-04 19:05:00","14026.3","2021-05-04 19:10:02"
"2021-05-04 19:10:00","13977.7","2021-05-04 19:20:03"
"2021-05-04 19:15:00","13911.1","2021-05-04 19:25:03"
"2021-05-04 19:20:00","13909.1","2021-05-04 19:30:02"
"2021-05-04 19:25:00","13815.5","2021-05-04 19:35:03"
"2021-05-04 19:30:00","13815.5","2021-05-04 19:40:05"
"2021-05-04 19:35:00","13777.3","2021-05-04 19:40:05"
"2021-05-04 19:40:00","13775.5","2021-05-04 19:45:03"
"2021-05-04 19:45:00","13754.2","2021-05-04 19:55:04"
"2021-05-04 19:50:00","13754.2","2021-05-04 20:00:03"
"2021-05-04 19:55:00","13716.9","2021-05-04 20:00:03"
"2021-05-04 20:00:00","13517.4","2021-05-04 20:05:02"
"2021-05-04 20:05:00","13541.5","2021-05-04 20:10:03"
"2021-05-04 20:10:00","13509.2","2021-05-04 20:15:04"
"2021-05-04 20:15:00","13567.6","2021-05-04 20:20:04"
"2021-05-04 20:20:00","13613.1","2021-05-04 20:30:06"
"2021-05-04 20:25:00","13605.5","2021-05-04 20:35:02"
"2021-05-04 20:30:00","13607.3","2021-05-04 20:35:02"
"2021-05-04 20:35:00","13578.2","2021-05-04 20:40:02"
"2021-05-04 20:40:00","13498","2021-05-04 20:45:03"
"2021-05-04 20:45:00","13314.9","2021-05-04 20:50:06"
"2021-05-04 20:50:00","13357.1","2021-05-04 20:55:06"
"2021-05-04 20:55:00","13425.1","2021-05-04 21:00:02"
"2021-05-04 21:00:00","13410.9","2021-05-04 21:05:05"
"2021-05-04 21:05:00","13354.6","2021-05-04 21:10:02"
"2021-05-04 21:10:00","13266.6","2021-05-04 21:15:07"
"2021-05-04 21:15:00","13253.8","2021-05-04 21:20:04"
"2021-05-04 21:20:00","12966.1","2021-05-04 21:25:03"
"2021-05-04 21:25:00","13003.3","2021-05-04 21:30:02"
"2021-05-04 21:30:00","13003.3","2021-05-04 21:35:06"
