,dap,target,error,class
144,75383,74621.523,-761.476999999999,1
145,74376,73812.132,-563.8680000000022,1
146,74359,73701.446,-657.5540000000037,1
147,74601,74101.705,-499.29499999999825,1
148,76081,75332.711,-748.2890000000043,1
149,77764,77200.843,-563.1570000000065,1
150,80811,80233.615,-577.3849999999948,1
151,82356,82757.164,401.1640000000043,1
152,84056,82817.244,-1238.755999999994,1
153,81248,80155.75,-1092.25,1
154,77788,76624.747,-1163.252999999997,1
155,75245,74458.903,-786.0969999999943,1
156,73692,72375.912,-1316.0880000000034,1
157,71322,70500.325,-821.6750000000029,1
158,69331,68735.036,-595.9640000000072,1
159,68914,68335.604,-578.3959999999934,1
160,69762,69224.92,-537.0800000000017,1
161,71831,71196.742,-634.2580000000016,1
162,73950,73262.481,-687.5190000000002,1
163,76916,76621.292,-294.7079999999987,1
164,80503,79523.825,-979.1750000000029,1
165,78618,77852.034,-765.9660000000003,1
166,75840,74956.21,-883.7899999999936,1
167,72852,72053.91,-798.0899999999965,1
168,70537,70077.391,-459.60899999999674,1
169,70133,69431.18,-701.820000000007,1
170,70280,69676.544,-603.4560000000056,1
171,71185,70740.093,-444.9070000000065,1
172,73809,73456.303,-352.6970000000001,1
173,79356,78736.322,-619.6779999999999,1
174,87488,86642.511,-845.4890000000014,1
175,93133,92067.149,-1065.850999999995,1
176,92465,91634.981,-830.0190000000002,1
177,89397,88164.091,-1232.9089999999997,1
178,86088,84858.482,-1229.5179999999964,1
179,83388,82648.404,-739.596000000005,1
180,81609,80983.309,-625.6910000000062,1
181,80179,79676.612,-502.3880000000063,1
182,78913,78437.027,-475.97299999999814,1
183,77733,77506.557,-226.4429999999993,1
184,78130,77532.975,-597.0249999999942,1
185,79147,78576.78,-570.2200000000012,1
186,80153,79601.609,-551.3910000000033,1
187,82488,82046.513,-441.4869999999937,1
188,84355,83521.805,-833.195000000007,1
189,82103,81034.745,-1068.2550000000047,1
190,77551,76801.522,-749.4780000000028,1
191,73537,72767.524,-769.4759999999951,1
192,70547,69936.019,-610.9809999999998,1
193,69341,68598.765,-742.2350000000006,1
194,68795,68165.586,-629.4140000000043,1
195,69247,68730.564,-516.4360000000015,1
196,71113,70715.337,-397.66300000000047,1
197,75566,75131.575,-434.4250000000029,1
198,82784,82236.266,-547.7339999999967,1
199,87784,87276.769,-507.23099999999977,1
200,88413,87787.872,-625.127999999997,1
201,87252,86390.857,-861.1429999999964,1
202,85009,84265.156,-743.8439999999973,1
203,83155,82582.769,-572.2309999999998,1
204,81745,81172.946,-572.0540000000037,1
205,80777,80367.593,-409.4070000000065,1
206,79939,79420.021,-518.9790000000066,1
207,79394,78777.248,-616.7519999999931,1
208,79652,79181.645,-470.3549999999959,1
209,80880,80146.962,-733.0380000000005,1
210,81545,80983.754,-561.2459999999992,1
211,83466,82981.881,-484.11900000000605,1
212,84527,83651.483,-875.5170000000071,1
213,81607,80831.032,-775.9679999999935,1
214,77069,76265.043,-803.9569999999949,1
