dap,target
18.368722,16.745913
19.298842,18.511057
22.372519,23.731916
32.718717,22.534565
38.717052,27.552077
31.479927,29.776617
32.315841,22.742133
30.496702,23.725421
28.129733,45.665174
25.952082,27.409353
24.410483,22.033511
24.140268,21.920297
22.540785,20.953366
22.559774,25.836584
23.19664,29.731663
24.181033,26.726206
32.419404,27.285825
42.286903,64.163741
28.70474,30.937441
23.564212,22.395993
21.463942,18.814692
19.447511,19.639566
19.45721,19.987927
19.278006,20.132197
19.352466,19.114435
20.560952,21.646517
23.522139,21.654844
33.855292,40.632833
37.695589,20.836004
35.93798,21.058266
36.164479,21.389348
33.646737,22.674742
31.141711,24.614737
31.982348,24.138386
28.859266,56.563897
27.521718,24.267093
29.196899,28.753565
27.428739,22.17608
28.69724,23.206259
27.580637,25.552886
31.373034,36.755237
38.529976,37.327954
30.973203,38.151455
25.862404,31.780681
22.857767,34.708331
20.874802,19.660027
20.692355,22.957447
20.027265,20.129696
20.069278,18.602496
20.638467,21.27051
22.573146,21.814817
32.320897,37.564438
35.396928,29.608986
35.731421,48.520018
35.391557,23.213539
33.897346,24.779267
32.282731,41.936098
33.383253,26.932074
30.235166,30.599313
28.393888,23.604485
26.231078,22.658509
26.075268,23.844904
27.476938,27.317055
30.816566,25.007689
34.719679,24.249975
44.238104,31.376403
32.988525,41.130783
27.446133,25.159974
23.183774,24.968306
23.721026,24.210703
22.500682,24.711641
21.722381,22.942118
22.182078,28.267305
23.786862,27.125198
27.322345,23.902233
43.876668,23.600911
48.995264,26.399769
43.058721,22.758822
39.133006,31.080931
36.452311,24.410769
34.324857,31.907544
32.358204,28.602251
31.778091,26.251629
29.266989,24.62077
27.22833,23.103359
25.715323,22.113687
26.922609,23.908792
27.112823,23.405413
31.877623,20.869156
38.238038,23.869621
30.994849,24.735734
26.290428,21.619233
24.269167,22.89586
25.011047,45.76226
25.149588,52.253979
24.816591,24.641328
24.928046,26.662498
25.360758,26.152978
25.393851,23.937364
28.861117,24.773821
34.533254,21.254846
35.483811,22.159464
36.065617,24.918554
34.664898,25.912376
32.985386,24.687487
28.815928,24.644792
27.012523,22.80755
25.464235,22.389659
25.437722,27.740251
25.642244,24.338524
27.016891,25.471411
27.217195,21.490002
34.825855,21.463355
43.184033,26.283453
34.313977,25.502292
27.697369,25.232509
24.330293,22.552765
23.578904,22.003268
23.075176,23.823062
22.81603,21.1303
22.848069,21.625088
22.732477,21.801879
22.705715,23.478742
23.267963,23.379629
24.186176,22.597566
24.363444,22.197682
24.480803,22.433395
24.222619,21.575529
23.782814,22.713977
23.048095,21.1258
22.174279,23.263152
21.590675,26.200434
21.434269,24.299034
21.64102,24.997427
22.985933,25.367157
23.135227,26.063054
25.987961,22.27758
36.434874,31.202008
29.307831,23.213134
23.427409,21.025545
22.200452,19.928303
22.183063,18.461473
21.260176,18.822489
20.27689,18.518596
20.401593,18.711034
21.257684,19.294779
23.39902,46.307879
33.023991,23.539283
38.349685,25.625868
33.986698,49.843576
32.736377,31.177724
32.130197,25.959573
32.408406,25.66583
28.890559,27.484061
27.63332,29.051612
25.943765,22.9016
24.899355,20.765909
24.785986,20.444166
26.622516,22.371061
26.763371,24.865511
32.939834,24.553885
40.507703,37.29927
32.111852,30.55521
25.403325,30.198754
22.619912,22.385343
24.469592,24.933798
25.316644,34.304514
24.583029,23.731345
24.777514,22.817072
25.972323,24.071825
31.792699,33.970486
44.45993,58.128346
42.978894,44.091462
40.664396,25.692803
40.575496,28.011753
40.164683,26.184499
41.504992,27.170108
37.477149,30.537799
39.197991,23.81738
36.780177,23.989368
34.713147,23.668004
34.213004,24.150251
36.320198,26.347689
35.398283,27.95505
42.207144,30.129405
47.566103,32.634854
39.555646,36.954984
34.593437,32.783051
31.004887,37.968934
26.139671,26.311099
25.46703,26.116178
23.989191,27.407426
24.38062,26.81891
25.414564,25.753709
29.414531,22.201378
37.232883,24.875314
40.775835,24.518739
38.150256,27.777243
37.134495,29.465893
37.559041,30.414926
35.532851,33.060691
35.090843,87.562718
33.407756,34.497367
28.819528,28.234227
28.040452,24.009087
31.073702,27.100817
30.192268,31.205193
34.998152,27.410684
42.326069,49.575044
49.126105,78.623096
37.464358,70.56473
33.126581,44.353766
32.047059,30.417609
34.339762,31.791905
32.580516,29.195864
30.64441,30.166399
31.770704,30.230515
34.672364,31.603489
40.959087,29.580392
53.798227,56.806189
65.244297,32.435686
46.069998,31.824365
38.72448,40.993601
36.589387,43.311826
35.051448,28.267033
32.75979,60.429529
29.800868,32.131413
28.735418,28.828747
27.344305,24.774807
27.537216,29.081154
29.095699,53.631182
30.877608,23.367639
37.801304,28.811353
48.326763,31.277491
36.684729,31.151746
32.106405,27.428904
28.433517,29.238347
29.207599,23.496704
27.894457,25.244302
26.579352,22.144083
27.069759,25.524949
29.771936,25.436844
36.339308,32.130448
53.459858,34.354269
62.49652,32.977918
44.015472,36.430574
38.2592,28.376507
37.729175,29.629134
33.215383,48.470253
32.311378,63.579698
29.750061,23.603487
27.785187,34.075699
25.992223,19.022219
25.939282,29.402402
25.967221,25.162447
27.131959,26.679605
34.882259,26.375714
42.500167,30.353474
34.472249,27.565206
27.729572,22.83227
23.37988,22.058524
24.761864,22.325241
24.713304,24.305643
22.865609,22.825202
23.204924,22.499535
23.525318,25.004549
24.749189,25.604225
25.110675,23.882434
27.503046,23.621301
28.637966,24.540156
30.845644,34.613817
31.346144,27.868609
30.629076,28.56719
29.034696,23.02865
27.632794,29.70732
26.35979,25.031748
26.111323,26.583423
27.621102,44.589768
29.007162,26.621694
27.525453,33.189576
29.984278,22.364032
37.147462,25.07437
29.165529,24.586669
25.677029,20.423971
22.822714,18.391315
21.165891,19.022897
20.616742,19.266367
18.891447,17.787988
18.274795,17.710436
18.462284,18.750057
18.457066,20.220734
20.626119,18.085319
22.434588,19.494634
23.543054,19.305801
24.528986,19.692002
24.988746,21.367807
25.293812,22.5782
24.399449,20.501962
23.462399,20.394404
22.887539,19.712802
22.566574,19.008725
23.494641,18.591114
23.693522,19.246615
23.580904,19.454183
28.473984,22.105336
35.266915,22.911809
29.354286,20.792747
23.273582,18.532314
20.853651,18.396797
20.361823,18.635636
20.131181,19.471941
18.943915,19.284303
19.677728,17.923751
21.309282,17.260818
25.720959,18.796723
41.504135,29.942207
38.873974,22.4281
35.12924,26.319458
31.876538,21.342397
30.489381,23.27335
29.814752,21.209119
28.673867,18.636006
25.44335,19.081782
24.675695,20.016069
23.117,27.18061
25.228312,20.590362
27.063879,24.399141
27.528893,24.106179
34.880025,23.936998
41.130107,26.305315
33.485291,23.624072
22.79915,18.540196
20.097422,18.668897
19.194566,18.314154
18.526969,18.030487
18.220412,17.066544
18.147447,16.967712
18.427639,16.937007
20.640168,17.990207
27.226799,22.39765
26.623128,20.497937
26.707961,24.954752
25.94352,24.968618
26.625525,22.840167
28.522323,39.211255
32.306365,102.081681
33.694443,73.992016
36.328484,37.874821
37.620664,54.742
43.302072,103.943499
46.12292,113.562883
42.591608,106.165919
43.042434,97.904236
47.869334,60.733182
35.436514,45.762705
26.222464,30.127142
22.295247,23.308457
20.505894,17.732283
19.10664,16.801564
17.941399,16.326556
17.675808,16.371698
17.282224,17.118683
19.719976,17.793732
23.045877,20.213149
26.325349,23.018116
27.797163,22.295213
29.998092,38.549685
32.834941,23.77993
36.498564,21.66554
42.928792,28.380292
43.822452,37.627219
50.444651,48.064388
54.386598,62.673393
65.142745,45.834882
66.388948,64.090293
50.935099,82.511801
49.822501,90.079383
49.759443,78.092077
35.862435,38.172443
27.760223,26.922532
23.851682,28.319088
22.844688,24.636131
21.395843,26.805036
19.653758,20.64924
18.945063,22.803247
19.309242,20.356104
22.113714,25.463315
