dap,target,error,class,class2
72686,71898.299,-787.701,1,1
68899,68179.443,-719.557,0,0
66494,66035.984,-458.016,0,0
65163,64661.186,-501.814,0,0
64790,64299.249,-490.751,0,0
65846,65212.193,-633.807,0,0
68972,68401.718,-570.282,0,0
74641,74059.196,-581.804,1,1
79722,79036.477,-685.523,1,1
82086,81325.881,-760.119,1,1
83383,82589.593,-793.407,1,1
83652,83141.162,-510.838,1,1
83580,82869.036,-710.964,1,1
82634,82087.999,-546.001,1,1
82371,81875.544,-495.456,1,1
81960,81090.984,-869.016,1,1
80877,80347.983,-529.017,1,1
80890,80477.752,-412.248,1,1
81595,80677.723,-917.277,1,1
81772,80571.313,-1200.687,1,1
81120,80992.714,-127.286,1,1
82955,81453.6,-1501.4,1,1
79974,78695.737,-1278.263,1,1
75815,74648.792,-1166.208,1,1
71894,70499.979,-1394.021,0,0
67952,66973.043,-978.957,0,0
65518,64726.893,-791.107,0,0
63874,63228.982,-645.018,0,0
63402,62776.419,-625.581,0,0
63506,63027.361,-478.639,0,0
65311,64753.935,-557.065,0,0
68146,67688.042,-457.958,0,0
71082,70487.75,-594.25,0,0
73299,72560.03,-738.97,1,1
73720,72975.464,-744.536,1,1
73621,72866.68,-754.32,1,1
72572,71952.455,-619.545,1,1
71911,71250.955,-660.045,1,1
71149,70631.247,-517.753,0,0
70580,70000.079,-579.921,0,0
71121,70141.89,-979.11,0,0
71856,71062.396,-793.604,1,1
73524,72331.378,-1192.622,1,1
73974,72979.279,-994.721,1,1
75011,74099.729,-911.271,1,1
76037,75276.68,-760.32,1,1
74416,73255.783,-1160.217,1,1
71397,70360.643,-1036.357,0,0
67834,66880.26,-953.74,0,0
64402,63864.841,-537.159,0,0
62528,61810.197,-717.803,0,0
61393,60758.159,-634.841,0,0
60802,60012.962,-789.038,0,0
60996,60074.639,-921.361,0,0
61455,60888.888,-566.112,0,0
63303,62775.956,-527.044,0,0
65676,65189.236,-486.764,0,0
69094,68354.283,-739.717,0,0
72218,71466.091,-751.909,1,1
74131,73526.335,-604.665,1,1
75264,74655.331,-608.669,1,1
75857,75149.389,-707.611,1,1
75614,74864.127,-749.873,1,1
75138,74453.001,-684.999,1,1
74965,74420.71,-544.29,1,1
75676,75254.775,-421.225,1,1
77867,76893.143,-973.857,1,1
79342,77998.835,-1343.165,1,1
80302,79286.681,-1015.319,1,1
81472,80462.16,-1009.84,1,1
78623,78484.294,-138.706,1,1
75635,75336.247,-298.753,1,1
72224,72018.926,-205.074,1,1
70577,69753.595,-823.405,0,0
69021,68580.698,-440.302,0,0
69034,68534.425,-499.575,0,0
69451,69039.373,-411.627,0,0
71413,71351.637,-61.363,1,1
76187,75898.101,-288.899,1,1
83850,83465.544,-384.456,1,1
89610,88839.417,-770.583,1,1
90547,89826.143,-720.857,1,1
88983,88343.1,-639.9,1,1
87110,86508.912,-601.088,1,1
85000,84481.625,-518.375,1,1
83316,82736.821,-579.179,1,1
81944,81239.148,-704.852,1,1
80121,79338.142,-782.858,1,1
78703,77997.951,-705.049,1,1
78344,77798.415,-545.585,1,1
79389,78602.31,-786.69,1,1
82479,79821.06,-2657.94,1,1
82426,82128.922,-297.078,1,1
85712,84661.639,-1050.361,1,1
83067,82913.622,-153.378,1,1
79642,79245.33,-396.67,1,1
75525,75650.242,125.242,1,1
73662,73087.612,-574.388,1,1
72225,71690.918,-534.082,1,1
71632,71188.599,-443.401,1,1
71865,71603.858,-261.142,1,1
74640,73798.983,-841.017,1,1
78641,78181.124,-459.876,1,1
85877,85238.291,-638.709,1,1
90195,89410.18,-784.82,1,1
89010,88240.968,-769.032,1,1
85931,85144.385,-786.615,1,1
83656,82728.486,-927.514,1,1
81576,80905.381,-670.619,1,1
80219,79742.108,-476.892,1,1
79268,78644.774,-623.226,1,1
78340,77559.226,-780.774,1,1
77564,76995.066,-568.934,1,1
77782,77228.222,-553.778,1,1
78727,78285.059,-441.941,1,1
80677,79191.758,-1485.242,1,1
81830,81083.732,-746.268,1,1
83638,82785.676,-852.324,1,1
80701,80233.644,-467.356,1,1
76499,75703.653,-795.347,1,1
72253,71200.932,-1052.068,1,1
68420,67925.732,-494.268,0,0
66398,66010.017,-387.983,0,0
65493,65000.631,-492.369,0,0
65137,64782.147,-354.853,0,0
66798,65949.984,-848.016,0,0
69742,69874.618,132.618,0,0
76200,75766.894,-433.106,1,1
80629,80045.573,-583.427,1,1
82679,81945.981,-733.019,1,1
83242,82749.23,-492.77,1,1
83778,83365.795,-412.205,1,1
84049,83541.576,-507.424,1,1
84341,83763.486,-577.514,1,1
83868,83662.043,-205.957,1,1
83931,83225.722,-705.278,1,1
83074,82587.06,-486.94,1,1
83406,82750.559,-655.441,1,1
84238,83642.936,-595.064,1,1
84751,84155.085,-595.915,1,1
85885,85081.547,-803.453,1,1
85991,85521.854,-469.146,1,1
83823,82984.419,-838.581,1,1
79700,78961.33,-738.67,1,1
75001,74807.417,-193.583,1,1
72673,72232.022,-440.978,1,1
71120,70236.642,-883.358,0,0
70100,69624.86,-475.14,0,0
70494,70116.873,-377.127,0,0
72398,71785.45,-612.55,1,1
76886,76343.866,-542.134,1,1
83549,83301.407,-247.593,1,1
89557,88789.644,-767.356,1,1
91884,91086.655,-797.345,1,1
92210,91559.663,-650.337,1,1
92237,91457.899,-779.101,1,1
91513,90829.369,-683.631,1,1
90261,89627.957,-633.043,1,1
88877,88469.591,-407.409,1,1
87841,87233.663,-607.337,1,1
87355,86771.922,-583.078,1,1
87813,87221.914,-591.086,1,1
88935,88470.624,-464.376,1,1
91213,89821.193,-1391.807,1,1
93532,92257.956,-1274.044,1,1
94913,94497.012,-415.988,1,1
92730,92758.634,28.634,1,1
88778,89059.21,281.21,1,1
84998,85155.639,157.639,1,1
82429,82332.389,-96.611,1,1
81481,81075.544,-405.456,1,1
81497,80676.493,-820.507,1,1
82303,81234.217,-1068.783,1,1
84751,83024.665,-1726.335,1,1
89741,86944.707,-2796.293,1,1
96658,92610.902,-4047.098,1,1
101176,96073.859,-5102.141,1,1
101030,95586.761,-5443.239,1,1
98909,93730.323,-5178.677,1,1
92819,92204.589,-614.411,1,1
91164,90252.438,-911.562,1,1
88770,87929.233,-840.767,1,1
86419,85699.952,-719.048,1,1
84104,83441.999,-662.001,1,1
82009,81294.114,-714.886,1,1
81196,80564.431,-631.569,1,1
82446,81064.741,-1381.259,1,1
83842,82473.693,-1368.307,1,1
86878,85381.843,-1496.157,1,1
88993,88514.704,-478.296,1,1
88875,87786.767,-1088.233,1,1
86317,85522.549,-794.451,1,1
83327,82580.777,-746.223,1,1
81080,80318.449,-761.551,1,1
80314,79018.789,-1295.211,1,1
79459,78727.471,-731.529,1,1
79744,79119.565,-624.435,1,1
80822,80295.648,-526.352,1,1
83024,82382.567,-641.433,1,1
86278,85564.641,-713.359,1,1
88502,87902.312,-599.688,1,1
88006,87178.05,-827.95,1,1
85462,84667.448,-794.552,1,1
83187,81587.071,-1599.929,1,1
79519,78937.233,-581.767,1,1
76846,76159.618,-686.382,1,1
74192,73520.415,-671.585,1,1
72357,71330.659,-1026.341,1,1
70669,69990.178,-678.822,0,0
70512,69927.491,-584.509,0,0
72054,71299.204,-754.796,1,1
73701,73030.96,-670.04,1,1
76084,75579.146,-504.854,1,1
79314,78453.917,-860.083,1,1
78718,78111.231,-606.769,1,1
76576,75841.4,-734.6,1,1
73636,72834.593,-801.407,1,1
71024,70259.795,-764.205,0,0
69081,68403.425,-677.575,0,0
68533,67735.651,-797.349,0,0
68091,67335.661,-755.339,0,0
68391,67838.801,-552.199,0,0
69493,69213.225,-279.775,0,0
71977,71508.258,-468.742,1,1
74089,73446.727,-642.273,1,1
75797,74782.479,-1014.521,1,1
75341,73975.978,-1365.022,1,1
72703,71849.965,-853.035,1,1
70847,69899.992,-947.008,0,0
69018,68497.222,-520.778,0,0
67603,67029.965,-573.035,0,0
66762,65955.816,-806.184,0,0
66133,65664.334,-468.666,0,0
66840,66047.206,-792.794,0,0
67748,67190.466,-557.534,0,0
69245,68610.926,-634.074,0,0
70882,70535.251,-346.749,0,0
74264,73499.343,-764.657,1,1
73310,72462.171,-847.829,1,1
70442,69609.568,-832.432,0,0
67257,66418.392,-838.608,0,0
64754,63983.276,-770.724,0,0
63642,62899.842,-742.158,0,0
63594,62732.206,-861.794,0,0
63966,63311.747,-654.253,0,0
65919,65294.144,-624.856,0,0
70106,69767.283,-338.717,0,0
76758,76236.692,-521.308,1,1
81378,80730.696,-647.304,1,1
82052,81551.92,-500.08,1,1
81352,80635.189,-716.811,1,1
80754,79980.135,-773.865,1,1
79832,79252.905,-579.095,1,1
79000,78686.2,-313.8,1,1
78844,78412.273,-431.727,1,1
78406,77765.523,-640.477,1,1
78107,77517.799,-589.201,1,1
78474,77930.128,-543.872,1,1
79526,79002.233,-523.767,1,1
80358,79823.306,-534.694,1,1
81401,81184.76,-216.24,1,1
83582,82554.047,-1027.953,1,1
80862,79856.851,-1005.149,1,1
