,dap,target,class,
593,25.173079,19.580275,1,","
594,24.566499,20.424798,1,","
595,28.764561,26.541515,1,","
596,32.09574,33.386789,1,","
597,25.367834,21.800107,1,","
598,21.428932,19.952279,1,","
599,18.742533,16.756631,1,","
600,16.687585,15.782376,1,","
601,16.168708,15.641242,1,","
602,15.805877,15.508362,1,","
603,15.66369,15.323972,1,","
604,15.851539,15.469891,1,","
605,18.144619,16.531613,1,","
606,21.635823,59.172096,2,","
607,23.598723,32.38012,1,","
608,24.277575,19.885957,1,","
609,25.099819,20.98441,1,","
610,26.045229,21.572334,1,","
611,25.245284,21.697791,1,","
612,25.729606,28.917182,1,","
613,24.993847,21.395573,1,","
614,24.847011,37.554259,1,","
615,24.452085,23.465813,1,","
616,25.049871,19.92023,1,","
617,25.146358,21.525968,1,","
618,25.512567,23.958367,1,","
619,29.021784,29.51995,1,","
620,30.092623,32.648511,1,","
621,25.763909,25.995044,1,","
622,22.794285,21.412878,1,","
623,19.60733,20.375826,1,","
624,19.624718,18.963815,1,","
625,18.709298,27.919597,1,","
626,17.545157,18.751942,1,","
627,17.424829,18.307777,1,","
628,17.351259,20.385712,1,","
629,18.245302,22.169237,1,","
630,19.420505,27.200756,1,","
631,20.741564,17.509583,1,","
632,22.31198,22.452792,1,","
633,22.998311,28.848169,1,","
634,23.536769,20.976782,1,","
635,24.087945,20.817108,1,","
636,24.075975,18.779619,1,","
637,23.255162,21.075151,1,","
638,23.415284,21.664323,1,","
639,23.669941,26.46958,1,","
640,23.611197,32.80335,1,","
641,23.659312,23.788577,1,","
642,22.982824,23.984025,1,","
643,26.337214,22.806317,1,","
644,27.779188,26.350071,1,","
645,23.282669,26.266905,1,","
646,20.880749,31.816528,1,","
647,18.412447,26.926652,1,","
648,17.823818,20.216714,1,","
649,17.612018,18.943553,1,","
650,16.512205,18.870726,1,","
651,15.921434,17.877219,1,","
652,16.19079,17.949992,1,","
653,16.690802,17.57071,1,","
654,17.758951,17.757007,1,","
655,18.498483,19.415574,1,","
656,20.060797,27.178313,1,","
657,21.176916,18.644116,1,","
658,22.066422,22.618359,1,","
659,23.346714,19.900858,1,","
660,23.052798,30.78015,1,","
661,22.90479,25.974994,1,","
662,22.895626,18.927022,1,","
663,23.080118,23.967417,1,","
664,23.45932,21.701873,1,","
665,25.297237,30.923279,1,","
666,29.476656,31.741525,1,","
667,32.030698,23.754013,1,","
668,44.975861,37.345739,1,","
669,30.407171,23.118232,1,","
670,23.823189,21.83511,1,","
671,20.277305,19.917336,1,","
672,18.864489,18.081289,1,","
673,17.810875,17.759925,1,","
674,17.311305,16.936598,1,","
675,17.332653,15.575867,1,","
676,17.821967,15.873346,1,","
677,20.794937,20.144847,1,","
678,26.966365,22.863868,1,","
679,28.507287,22.99381,1,","
680,27.657399,22.80278,1,","
681,31.0165,19.48873,1,","
682,30.050927,21.661806,1,","
683,30.146133,23.127357,1,","
684,29.013493,23.738614,1,","
685,26.658258,22.728587,1,","
686,24.919031,28.29067,1,","
687,23.427696,20.970416,1,","
688,23.680532,21.088903,1,","
689,23.87906,28.640603,1,","
690,24.664385,22.194387,1,","
691,32.67025,24.166492,1,","
692,39.24863,40.730353,1,","
693,27.086586,25.459283,1,","
694,23.028865,24.255253,1,","
695,21.022915,17.054918,1,","
696,19.132217,17.605227,1,","
697,18.940558,19.82094,1,","
698,18.154792,16.339925,1,","
699,18.368722,16.745913,1,","
700,19.298842,18.511057,1,","
701,22.372519,23.731916,1,","
702,32.718717,22.534565,1,","
703,38.717052,27.552077,1,","
704,31.479927,29.776617,1,","
705,32.315841,22.742133,1,","
706,30.496702,23.725421,1,","
707,28.129733,45.665174,1,","
708,25.952082,27.409353,1,","
709,24.410483,22.033511,1,","
710,24.140268,21.920297,1,","
