,dap,target,error,class
112,24.872876,18.946603,-5.926273000000002,1
113,25.986293,19.977789,-6.0085039999999985,1
114,31.117789,21.251364,-9.866425,1
115,42.821422,83.366097,40.544675,1
116,39.176342,79.015679,39.83933700000001,1
117,35.648207,106.28501,70.636803,1
118,29.943727,27.740925,-2.2028019999999984,1
119,26.277177,24.093438,-2.183738999999999,1
120,31.219634,62.685169,31.465535000000003,1
121,28.323043,25.049739,-3.2733039999999995,1
122,27.086729,26.785451,-0.30127799999999993,1
123,27.615412,33.10005,5.484638000000004,1
124,29.69209,24.758653,-4.933437000000001,1
125,34.077885,25.840625,-8.237260000000003,1
126,42.107424,22.940208,-19.167216000000003,1
127,46.441519,35.700018,-10.741501,1
128,42.343348,30.743223,-11.600124999999998,1
129,38.231638,23.114477,-15.117160999999996,1
130,31.3178,23.018333,-8.299467,1
131,24.790322,21.357267,-3.4330549999999995,1
132,22.589464,19.871694,-2.717769999999998,1
133,21.155804,19.243803,-1.912001,1
134,20.654332,17.215319,-3.439012999999999,1
135,19.863251,18.112894,-1.750357000000001,1
136,20.322627,18.827201,-1.495426000000002,1
137,20.859485,19.29516,-1.5643250000000002,1
138,23.668489,23.830357,0.16186799999999835,1
139,32.454804,34.912652,2.4578479999999985,1
140,32.018848,32.323199,0.30435100000000403,1
141,29.057243,34.830501,5.7732579999999984,1
142,24.5315,28.938318,4.406817999999998,1
143,21.457438,24.57578,3.118342000000002,1
144,23.940815,32.346354,8.405538999999997,1
145,23.450963,32.047912,8.596948999999995,1
146,23.44103,27.465095,4.024065,1
147,25.585723,32.871428,7.285705,1
148,26.542405,32.797135,6.254729999999999,1
149,28.864705,50.789381,21.924675999999998,1
150,32.127932,27.117973,-5.009959000000002,1
151,34.391801,28.608576,-5.783225000000002,1
152,32.384097,20.090004,-12.294092999999997,1
153,24.982118,20.461001,-4.521117,1
154,21.957114,18.720169,-3.236945000000002,1
155,20.503621,18.978785,-1.5248360000000005,1
156,20.264182,16.336744,-3.927438000000002,1
157,18.63304,15.596677,-3.0363630000000015,1
158,17.93655,15.477982,-2.4585679999999996,0
159,17.783214,15.681141,-2.1020730000000007,0
160,18.386068,15.849785,-2.536283000000001,0
161,18.712068,17.585467,-1.1266009999999973,1
162,22.528961,18.62759,-3.9013709999999975,1
163,32.130151,24.754329,-7.375821999999999,1
164,32.061417,25.014132,-7.047284999999999,1
165,25.511413,20.499138,-5.0122750000000025,1
166,21.035643,17.619529,-3.4161140000000003,1
167,19.204912,15.515384,-3.689528000000001,1
168,25.270119,16.629552,-8.640567,1
169,22.900416,17.295379,-5.605036999999999,1
170,23.422349,16.169156,-7.253193,1
171,24.773537,17.727956,-7.045581000000002,1
172,22.616249,21.889667,-0.7265820000000005,1
173,30.986217,18.869062,-12.117155,1
174,45.563027,25.713424,-19.849603,1
175,53.094357,36.126922,-16.967435000000002,2
