dap,target,,
65391,65133.606,,
69227,68858.811,,
75798,75326.091,,
80560,79406.36,,
81706,80444.194,,
81473,79877.696,,
79955,79428.728,,
79923,79369.488,,
79913,79352.184,,
80412,79646.331,,
80220,79846.826,,
80642,80077.266,,
81267,81064.203,,
82719,81894.748,,
83582,82481.487,,
84045,82983.045,,
83971,84300.204,,
82070,81576.1,,
77367,76632.909,,
72519,71581.079,,
68152,67392.731,,
65598,64895.505,,
64289,63679.164,,
63695,63068.415,,
64778,64150.059,,
67716,67496.882,,
73937,73529.56,,
78331,77476.561,,
81534,79434.051,,
81565,80220.516,,
81750,80793.665,,
82307,80959.652,,
82399,81668.527,,
83175,82328.805,,
83880,82882.724,,
84196,83557.769,,
85276,84351.635,,
85891,84882.231,,
85516,84947.507,,
85395,85030.925,,
88458,85881.815,,
84587,82791.403,,
78243,77554.612,,
73205,72261.681,,
68713,67827.445,,
65821,65102.056,,
64225,63563.442,,
63631,62911.573,,
64562,64051.738,,
67939,67183.742,,
74121,72867.197,,
78445,76847.146,,
79585,78524.074,,
80444,79048.535,,
81193,79693.101,,
81730,79988.779,,
81357,80524.815,,
82019,80899.256,,
82448,80874.083,,
82759,80869.978,,
83476,80848.737,,
84237,81557.278,,
83161,81335.942,,
84568,81721.011,,
84988,82648.473,,
80943,79712.755,,
76123,75097.572,,
71384,70293.527,,
67211,66521.256,,
64732,64133.264,,
63447,62802.459,,
62804,62284.087,,
63662,63220.635,,
66890,66542.869,,
72497,71891.738,,
77451,76455.018,,
79535,78752.99,,
80582,79922.166,,
81314,80553.011,,
81408,81119.638,,
81348,81357.607,,
82145,81697.99,,
82182,81386.336,,
81466,80661.802,,
81184,80556.374,,
81112,80558.442,,
80473,80068.926,,
80628,80083.456,,
81283,80113.876,,
78741,77945.536,,
74486,73735.098,,
70456,69511.22,,
66367,65742.508,,
63993,63227.343,,
62446,61728.173,,
61530,60923.165,,
61832,61150.046,,
62999,62282.234,,
65193,64696.197,,
68421,66827.278,,
70874,69821.672,,
72482,71754.776,,
73447,72896.664,,
73786,72955.726,,
73518,72970.549,,
73279,72602.284,,
73228,72585.925,,
73554,73021.187,,
74545,73866.112,,
75508,74897.728,,
76117,75339.641,,
76332,76072.293,,
78003,76946.276,,
75592,74879.718,,
72525,71425.354,,
68554,67531.312,,
64743,64047.797,,
62494,61670.469,,
60838,60208.878,,
60128,59425.792,,
59875,59273.571,,
60740,59919.215,,
62224,61524.131,,
64338,63107.067,,
67074,66256.697,,
69770,68928.304,,
71533,71000.515,,
72935,71926.475,,
73193,72704.986,,
73424,72984.594,,
73681,73045.238,,
74083,73605.929,,
75072,74533.973,,
76745,75940.792,,
77563,76585.904,,
77871,77520.4,,
79432,78647.367,,
76979,76363.286,,
73477,72157.142,,
68686,68054.804,,
65904,64947.738,,
64253,63119.147,,
62792,62144.868,,
62431,61915.673,,
63901,63404.836,,
67484,67246.245,,
74244,73835.843,,
79072,78601.575,,
81668,80943.242,,
82496,82023.905,,
83172,82923.28,,
83356,82758.519,,
83481,83041.448,,
83156,82682.49,,
82223,81798.371,,
81214,80778.655,,
81109,80655.556,,
81712,81265.985,,
82617,81571.585,,
83107,82055.209,,
83354,82857.236,,
80595,80488.263,,
76803,76021.377,,
72346,71581.063,,
68858,68260.348,,
67114,66336.885,,
65794,65376.302,,
65642,65238.071,,
66997,66752.841,,
70920,70631.198,,
77327,76888.574,,
81484,80861.461,,
82953,82013.268,,
82027,81898.217,,
81291,80871.719,,
80866,80211.386,,
79574,79189.097,,
79041,78466.933,,
78307,77755.882,,
77802,77088.912,,
77774,77268.754,,
78807,78001.241,,
79649,78909.545,,
81123,79808.107,,
82334,81751.26,,
80173,79517.323,,
75978,74884.232,,
70844,70241.372,,
67528,66919.749,,
65452,64895.116,,
64569,64094.397,,
64643,63984.601,,
65768,65514.045,,
69767,69324.105,,
75779,75387.143,,
80539,79292.256,,
80809,80319.463,,
80622,79876.01,,
80317,79756.79,,
80364,79799.744,,
80883,80306.372,,
81077,80580.927,,
80589,80079.566,,
80018,79630.649,,
80055,79780.379,,
80713,80175.85,,
