,dap,class,
542,80220,1,","
543,80642,1,","
544,81267,1,","
545,82719,1,","
546,83582,1,","
547,84045,1,","
548,83971,1,","
549,82070,1,","
550,77367,1,","
551,72519,1,","
552,68152,0,","
553,65598,0,","
554,64289,0,","
555,63695,0,","
556,64778,0,","
557,67716,0,","
558,73937,1,","
559,78331,1,","
560,81534,1,","
561,81565,1,","
562,81750,1,","
563,82307,1,","
564,82399,1,","
565,83175,1,","
566,83880,1,","
567,84196,1,","
568,85276,1,","
569,85891,1,","
570,85516,1,","
571,85395,1,","
572,88458,1,","
573,84587,1,","
574,78243,1,","
575,73205,1,","
576,68713,0,","
577,65821,0,","
578,64225,0,","
579,63631,0,","
580,64562,0,","
581,67939,0,","
582,74121,1,","
583,78445,1,","
584,79585,1,","
585,80444,1,","
586,81193,1,","
587,81730,1,","
588,81357,1,","
589,82019,1,","
590,82448,1,","
591,82759,1,","
592,83476,1,","
593,84237,1,","
594,83161,1,","
595,84568,1,","
596,84988,1,","
597,80943,1,","
598,76123,1,","
599,71384,1,","
600,67211,0,","
601,64732,0,","
602,63447,0,","
603,62804,0,","
604,63662,0,","
605,66890,0,","
606,72497,1,","
607,77451,1,","
608,79535,1,","
609,80582,1,","
610,81314,1,","
611,81408,1,","
612,81348,1,","
613,82145,1,","
614,82182,1,","
615,81466,1,","
616,81184,1,","
617,81112,1,","
618,80473,1,","
619,80628,1,","
620,81283,1,","
621,78741,1,","
622,74486,1,","
623,70456,0,","
624,66367,0,","
625,63993,0,","
626,62446,0,","
627,61530,0,","
628,61832,0,","
629,62999,0,","
630,65193,0,","
631,68421,0,","
632,70874,0,","
633,72482,1,","
634,73447,1,","
635,73786,1,","
636,73518,1,","
637,73279,1,","
638,73228,1,","
639,73554,1,","
640,74545,1,","
641,75508,1,","
642,76117,1,","
643,76332,1,","
644,78003,1,","
645,75592,1,","
646,72525,1,","
647,68554,0,","
648,64743,0,","
649,62494,0,","
650,60838,0,","
651,60128,0,","
652,59875,0,","
653,60740,0,","
654,62224,0,","
655,64338,0,","
656,67074,0,","
657,69770,0,","
658,71533,1,","
659,72935,1,","
660,73193,1,","
661,73424,1,","
662,73681,1,","
663,74083,1,","
664,75072,1,","
665,76745,1,","
666,77563,1,","
667,77871,1,","
668,79432,1,","
669,76979,1,","
670,73477,1,","
671,68686,0,","
672,65904,0,","
673,64253,0,","
674,62792,0,","
675,62431,0,","
676,63901,0,","
677,67484,0,","
678,74244,1,","
679,79072,1,","
680,81668,1,","
681,82496,1,","
682,83172,1,","
683,83356,1,","
684,83481,1,","
685,83156,1,","
686,82223,1,","
687,81214,1,","
688,81109,1,","
689,81712,1,","
690,82617,1,","
691,83107,1,","
692,83354,1,","
693,80595,1,","
694,76803,1,","
695,72346,1,","
696,68858,0,","
697,67114,0,","
698,65794,0,","
699,65642,0,","
700,66997,0,","
701,70920,0,","
702,77327,1,","
703,81484,1,","
704,82953,1,","
705,82027,1,","
706,81291,1,","
707,80866,1,","
708,79574,1,","
709,79041,1,","
710,78307,1,","
